TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT
section,pre-production,,,,,,,,,,
task,Identify whom/what will feature,,4,1,Colin (16279760),,,,Europe/London,,
task,Create playlist,,4,1,Colin (16279760),,,,Europe/London,,
task,Add to Spotify,,4,2,Colin (16279760),,,,Europe/London,,
task,Add to Hugo,,4,2,Colin (16279760),,,,Europe/London,,
task,Curate tracks @duration-25m @people-self @place-home @tools-arrs @when-anytime,,4,1,Colin (16279760),,,,Europe/London,,
task,Prepare Hugo content,,4,1,Colin (16279760),,,,Europe/London,,
task,Update description to reflect the programme feature (see frontmatter),,4,2,Colin (16279760),,,,Europe/London,,
task,Update summary to show highlighted artists (see frontmatter),,4,2,Colin (16279760),,,,Europe/London,,
task,Update featured_image to display show logo (see frontmatter),,4,2,Colin (16279760),,,,Europe/London,,
task,Prepare rough script,,4,1,Colin (16279760),,,,Europe/London,,
,,,,,,,,,,,
section,pre-live-broadcast,,,,,,,,,,
task,charge car,,4,1,Colin (16279760),,,,Europe/London,,
task,pack studio pass,,4,1,Colin (16279760),,,,Europe/London,,
task,pack usb stick that contains media,,4,1,Colin (16279760),,,,Europe/London,,
,,,,,,,,,,,
section,live-broadcast,,,,,,,,,,
task,stack first set of adverts in meridian,,4,1,Colin (16279760),,,,Europe/London,,
,,,,,,,,,,,
section,post-production,,,,,,,,,,
task,Finalise Hugo content,,4,1,Colin (16279760),,,,Europe/London,,
task,Update broadcast date in the title (see frontmatter),,4,2,Colin (16279760),,,,Europe/London,,
task,Update draft from true to false (see frontmatter),,4,2,Colin (16279760),,,,Europe/London,,
,,,,,,,,,,,
